tag,game,characters
Djagof,melee,""""""
Ac_Anon,melee,""""""
Beans,melee,""""""
Jjlinyard,melee,""""""
WAR | Adamkex,melee,""""""
Bullet Bill,melee,""""""
KidCandi,melee,""""""
Socks,melee,""""""
Cpt. Zeppo,melee,""""""
Aether,melee,""""""
TheRedSock,melee,""""""
OSU TimeMuffinPhD,melee,""""""
Kraft-Ebing,melee,""""""
JoMo,melee,""""""
BEAST | VJ,melee,""""""
Luxus,melee,""""""
Langley Trifasia,melee,""""""
#Norway K-12,melee,""""""
MoonE 2,melee,""""""
HaoTwo,melee,""""""
Modest Major,melee,""""""
EE Lunacy | Eikelman,melee,""""""
TH | Calzum,melee,""""""
Ddiz,melee,""""""
GAWes,melee,""""""
Norm,melee,""""""
Matt Smith,melee,""""""
Phade,melee,""""""
Yeniths,melee,""""""
PureEvil,melee,""""""
Shifting Shadows,melee,""""""
Unreal,melee,""""""
Doraki,melee,""""""
ProsmasherTim,melee,""""""
Heir | Reaper,melee,""""""
epikfaal,melee,""""""
Maskless,melee,""""""
Lengman,melee,""""""
J3ly,melee,""""""
JAVI,melee,"{""melee/fox"": 23, ""melee/younglink"": 1}"
Darkrain,melee,""""""
Zanguzen,melee,"{""melee/falco"": 4}"
Azen zagenite,melee,""""""
lovage805,melee,"{""melee/fox"": 8}"
Darkatma,melee,"{""melee/sheik"": 35, ""melee/peach"": 7, ""melee/fox"": 4}"
[62-bit] vish,melee,""""""
Okamibw,melee,""""""
Animal,melee,""""""
